z,n,a,symbol,training_measurement_fm,training_measurement_unc_fm,nuclr_prediction_fm,nuclr_seed_std_fm,nuclr_model_count,nuclr_prediction_kind,interval_kind,interval68_half_width_fm,interval68_lower_fm,interval68_upper_fm,interval95_half_width_fm,interval95_lower_fm,interval95_upper_fm,external_measurement_fm,external_measurement_unc_fm,external_source_key,external_source_doi,training_status
12,22,34,Mg,,,3.1539886,0.005453507,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03589787572,3.118090724,3.189886476,0.07706924469,3.076919355,3.231057845,,,,,
12,23,35,Mg,,,3.1436226,0.0047516054,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03138186259,3.112240737,3.175004463,0.06829308244,3.075329518,3.211915682,,,,,
12,24,36,Mg,,,3.1565967,0.005741012,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03348178884,3.123114911,3.190078489,0.07098991954,3.08560678,3.22758662,,,,,
12,25,37,Mg,,,3.1515658,0.0052137473,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03184298069,3.119722819,3.183408781,0.06872431072,3.082841489,3.220290111,,,,,
12,26,38,Mg,,,3.1689851,0.0056765852,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03583326037,3.13315184,3.20481836,0.07489300448,3.094092096,3.243878104,,,,,
12,27,39,Mg,,,3.1629477,0.0075492053,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03441466464,3.128533035,3.197362365,0.07332239897,3.089625301,3.236270099,,,,,
12,28,40,Mg,,,3.1710858,0.006474989,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03262303481,3.138462765,3.203708835,0.06908848995,3.10199731,3.24017429,,,,,
13,11,24,Al,,,3.1080222,0.0082883295,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01003785035,3.09798435,3.11806005,0.02152964316,3.086492557,3.129551843,,,,,
13,12,25,Al,,,3.107086,0.0040890174,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01141157884,3.095674421,3.118497579,0.02383181013,3.08325419,3.13091781,,,,,
13,13,26,Al,,,3.0693848,0.00434042,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01612877855,3.053256021,3.085513579,0.03391401005,3.03547079,3.10329881,,,,,
13,14,27,Al,3.061,0.0031,3.0742717,0.0018367665,4,measured_target_oof_4_models,heldout_test_aggregate,0.02063135801,3.053640342,3.094903058,0.04598065471,3.028291045,3.120252355,,,,,
13,15,28,Al,,,3.0799208,0.0027786542,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01552282843,3.064397972,3.095443628,0.03304153444,3.046879266,3.112962334,,,,,
13,16,29,Al,,,3.1100764,0.002457842,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01418303635,3.095893364,3.124259436,0.03008611966,3.07999028,3.14016252,,,,,
13,17,30,Al,,,3.1167243,0.0028688759,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01571942136,3.101004879,3.132443721,0.03368674857,3.083037551,3.150411049,,,,,
13,18,31,Al,,,3.1458154,0.0045833113,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01916677023,3.12664863,3.16498217,0.040217927,3.105597473,3.186033327,,,,,
13,19,32,Al,,,3.1499522,0.0033151202,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01748195551,3.132470244,3.167434156,0.03752483744,3.112427363,3.187477037,,,,,
13,20,33,Al,,,3.1799788,0.0062509486,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01657827829,3.163400522,3.196557078,0.03423239694,3.145746403,3.214211197,,,,,
13,21,34,Al,,,3.1809897,0.0047856485,40,unmeasured_target_40_models,extrapolation_model_estimate,0.02164735909,3.159342341,3.202637059,0.04648130901,3.134508391,3.227471009,,,,,
13,22,35,Al,,,3.185654,0.0052353186,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03000199944,3.155652001,3.215655999,0.06324376874,3.122410231,3.248897769,,,,,
13,23,36,Al,,,3.1784968,0.004577605,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03313135638,3.145365444,3.211628156,0.06920248281,3.109294317,3.247699283,,,,,
13,24,37,Al,,,3.1916447,0.0053827404,40,unmeasured_target_40_models,extrapolation_model_estimate,0.0333756598,3.15826904,3.22502036,0.06933430432,3.122310396,3.260979004,,,,,
13,25,38,Al,,,3.1846347,0.0058079804,40,unmeasured_target_40_models,extrapolation_model_estimate,0.0319142789,3.152720421,3.216548979,0.06920706183,3.115427638,3.253841762,,,,,
13,26,39,Al,,,3.203916,0.0057526357,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03796807208,3.165947928,3.241884072,0.07961682607,3.124299174,3.283532826,,,,,
13,27,40,Al,,,3.1957645,0.007628906,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03576741569,3.159997084,3.231531916,0.07604085104,3.119723649,3.271805351,,,,,
13,28,41,Al,,,3.2032528,0.0065948055,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03686462394,3.166388176,3.240117424,0.07748505106,3.125767749,3.280737851,,,,,
13,29,42,Al,,,3.2149925,0.007770142,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03270958097,3.182282919,3.247702081,0.06819226947,3.146800231,3.283184769,,,,,
13,30,43,Al,,,3.2382789,0.0076785213,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03224643955,3.20603246,3.27052534,0.0660765238,3.172202376,3.304355424,,,,,
14,11,25,Si,,,3.140819,0.008054967,40,unmeasured_target_40_models,extrapolation_model_estimate,0.008342735149,3.132476265,3.149161735,0.01741435213,3.123404648,3.158233352,,,,,
14,12,26,Si,,,3.1363678,0.005576588,40,unmeasured_target_40_models,extrapolation_model_estimate,0.00869134256,3.127676457,3.145059143,0.01833342831,3.118034372,3.154701228,,,,,
14,13,27,Si,,,3.1022015,0.004437558,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01229140425,3.089910096,3.114492904,0.02641747546,3.075784025,3.128618975,,,,,
14,14,28,Si,3.1224,0.0024,3.104994,0.0015171084,4,measured_target_oof_4_models,heldout_test_aggregate,0.01658633154,3.088407668,3.121580332,0.03827488062,3.066719119,3.143268881,,,,,
14,15,29,Si,3.1176,0.0052,3.123693,0.0011598578,4,measured_target_oof_4_models,heldout_test_aggregate,0.01599625958,3.10769674,3.13968926,0.03463663797,3.089056362,3.158329638,,,,,
14,16,30,Si,3.1336,0.004,3.160131,0.00045044554,4,measured_target_oof_4_models,heldout_test_aggregate,0.01410597653,3.146025023,3.174236977,0.0304834764,3.129647524,3.190614476,,,,,
14,17,31,Si,,,3.1595225,0.0030737843,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01560150351,3.143920996,3.175124004,0.03319774581,3.126324754,3.192720246,,,,,
14,18,32,Si,,,3.1896513,0.004721537,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01699567966,3.17265562,3.20664698,0.03731670996,3.15233459,3.22696801,,,,,
14,19,33,Si,,,3.1954234,0.002993794,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01445267659,3.180970723,3.209876077,0.0303059441,3.165117456,3.225729344,,,,,
14,20,34,Si,,,3.2212048,0.0057322485,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01531451287,3.205890287,3.236519313,0.03247248603,3.188732314,3.253677286,,,,,
14,21,35,Si,,,3.2190425,0.0047918595,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01183933493,3.207203165,3.230881835,0.02516029609,3.193882204,3.244202796,,,,,
14,22,36,Si,,,3.2270305,0.00506892,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01448202006,3.21254848,3.24151252,0.03047293497,3.196557565,3.257503435,,,,,
