z,n,a,symbol,ground_state_spin,ground_state_parity,training_measurement_e2_b2,training_measurement_unc_e2_b2,nuclr_prediction_e2_b2,nuclr_seed_std_e2_b2,nuclr_model_count,nuclr_prediction_kind,interval_kind,interval68_half_width_e2_b2,interval68_lower_e2_b2,interval68_upper_e2_b2,interval95_half_width_e2_b2,interval95_lower_e2_b2,interval95_upper_e2_b2
12,12,24,Mg,0,1,0.008744,0.00018,0.008007434,0.0004938009,4,measured_target_oof_4_models,heldout_test_aggregate,0.002608431955,0.005399002045,0.01061586595,0.006029009487,0.001978424513,0.01403644349
12,14,26,Mg,0,1,0.006272,0.000144,0.006903238,0.00032914217,4,measured_target_oof_4_models,heldout_test_aggregate,0.003896580993,0.003006657007,0.01079981899,0.009387802334,0,0.01629104033
12,16,28,Mg,0,1,0.00732,0.00092,0.012145991,0.0004948773,4,measured_target_oof_4_models,heldout_test_aggregate,0.001306239871,0.01083975113,0.01345223087,0.002990622975,0.009155368025,0.01513661398
12,18,30,Mg,0,1,0.00546,0.00052,0.006564491,0.000523802,4,measured_target_oof_4_models,heldout_test_aggregate,0.002096868816,0.004467622184,0.008661359816,0.005234782121,0.001329708879,0.01179927312
12,20,32,Mg,0,1,0.00868,0.00104,0.003039483,8.528908e-05,4,measured_target_oof_4_models,heldout_test_aggregate,0.003015772446,2.371055357e-05,0.006055255446,0.006908327799,0,0.009947810799
12,22,34,Mg,0,1,0.01146,0.00158,0.0059841117,0.00073319144,4,measured_target_oof_4_models,heldout_test_aggregate,0.005202407238,0.0007817044621,0.01118651894,0.0126996835,0,0.0186837952
12,24,36,Mg,0,1,0.01059126184,,0.008179809,0.0003793237,4,measured_target_oof_4_models,heldout_test_aggregate,0.007695579182,0.000484229818,0.01587538818,0.01961553968,0,0.02779534868
12,26,38,Mg,0,1,,,0.0046871714,0.006210601,40,unmeasured_target_40_models,extrapolation_model_estimate,0.00590423854,0,0.01059140994,0.01486998758,0,0.01955715898
12,28,40,Mg,0,1,,,0.0020104062,0.006288156,40,unmeasured_target_40_models,extrapolation_model_estimate,0.005581856446,0,0.007592262646,0.01466061901,0,0.01667102521
14,12,26,Si,0,1,0.00688,0.0005,0.003306672,2.2228154e-05,4,measured_target_oof_4_models,heldout_test_aggregate,0.002126849843,0.001179822157,0.005433521843,0.005349740762,0,0.008656412762
14,14,28,Si,0,1,0.006534,0.0001,0.0040963255,5.465056e-05,4,measured_target_oof_4_models,heldout_test_aggregate,0.003081608066,0.001014717434,0.007177933566,0.008467842394,0,0.01256416789
14,16,30,Si,0,1,0.004162,0.000128,0.0046361457,0.00017509346,4,measured_target_oof_4_models,heldout_test_aggregate,0.002403896188,0.002232249512,0.007040041888,0.00577321619,0,0.01040936189
14,18,32,Si,0,1,0.00244,0.0003,0.0023718823,5.459675e-05,4,measured_target_oof_4_models,heldout_test_aggregate,0.002174902118,0.0001969801824,0.004546784418,0.005152465514,0,0.007524347814
14,20,34,Si,0,1,0.0017,0.00066,0.0026642578,1.43802445e-05,4,measured_target_oof_4_models,heldout_test_aggregate,0.003379418123,0,0.006043675923,0.007869385062,0,0.01053364286
14,22,36,Si,0,1,0.00386,0.00118,0.007544106,0.00015139287,4,measured_target_oof_4_models,heldout_test_aggregate,0.00585058104,0.00169352496,0.01339468704,0.01358546383,0,0.02112956983
14,24,38,Si,0,1,0.00386,0.00142,0.013300257,0.00029728925,4,measured_target_oof_4_models,heldout_test_aggregate,0.006567226872,0.006733030128,0.01986748387,0.01502710462,0,0.02832736162
14,26,40,Si,0,1,0.0086,0.0024,0.004467696,0.00027048998,4,measured_target_oof_4_models,heldout_test_aggregate,0.005583188285,0,0.01005088428,0.01314636718,0,0.01761406318
14,28,42,Si,0,1,,,0.0015771671,0.0012921998,40,unmeasured_target_40_models,extrapolation_model_estimate,0.00529334893,0,0.00687051603,0.01339772767,0,0.01497489477
14,30,44,Si,0,1,,,0.0015348981,0.0033460066,40,unmeasured_target_40_models,extrapolation_model_estimate,0.005744806064,0,0.007279704164,0.01403026755,0,0.01556516565
16,12,28,S,0,1,0.00362,0.00062,0.007088488,0.0003641848,4,measured_target_oof_4_models,heldout_test_aggregate,0.003279466645,0.003809021355,0.01036795465,0.007651913067,0,0.01474040107
16,14,30,S,0,1,0.00648,0.00044,0.0044429973,3.743128e-05,4,measured_target_oof_4_models,heldout_test_aggregate,0.003178222848,0.001264774452,0.007621220148,0.007230147862,0,0.01167314516
16,16,32,S,0,1,0.005916,0.00013,0.0056669954,0.00011757636,4,measured_target_oof_4_models,heldout_test_aggregate,0.002656902832,0.003010092568,0.008323898232,0.006796104519,0,0.01246309992
16,18,34,S,0,1,0.004166,0.00024,0.0029054242,8.693482e-05,4,measured_target_oof_4_models,heldout_test_aggregate,0.002657219293,0.0002482049074,0.005562643493,0.006226088258,0,0.009131512458
16,20,36,S,0,1,0.001772,0.00014,0.0045833476,0.00039046616,4,measured_target_oof_4_models,heldout_test_aggregate,0.00303046976,0.00155287784,0.00761381736,0.007352355862,0,0.01193570346
16,22,38,S,0,1,0.0047,0.0006,0.010825269,0.00024320657,4,measured_target_oof_4_models,heldout_test_aggregate,0.00277758941,0.00804767959,0.01360285841,0.007178444944,0.003646824056,0.01800371394
16,24,40,S,0,1,0.00668,0.00072,0.008043944,0.0008309061,4,measured_target_oof_4_models,heldout_test_aggregate,0.005471158523,0.002572785477,0.01351510252,0.01519009823,0,0.02323404223
16,26,42,S,0,1,0.00794,0.00126,0.0059811897,0.00023706621,4,measured_target_oof_4_models,heldout_test_aggregate,0.006280742185,0,0.01226193189,0.01526116181,0,0.02124235151
16,28,44,S,0,1,0.00628,0.00176,0.0015909867,0.00016745392,4,measured_target_oof_4_models,heldout_test_aggregate,0.005619219873,0,0.007210206573,0.01373764699,0,0.01532863369
16,30,46,S,0,1,,,0.0021011648,0.0025651075,40,unmeasured_target_40_models,extrapolation_model_estimate,0.005875963829,0,0.007977128629,0.01438501621,0,0.01648618101
17,17,34,Cl,0,1,,,0.0038704989,0.0016840126,40,unmeasured_target_40_models,extrapolation_model_estimate,0.002683198436,0.001187300464,0.006553697336,0.006548041518,0,0.01041854042
18,12,30,Ar,0,1,,,0.0050971815,0.0011914849,40,unmeasured_target_40_models,extrapolation_model_estimate,0.003079267316,0.002017914184,0.008176448816,0.007738430663,0,0.01283561216
18,14,32,Ar,0,1,0.00532,0.00136,0.0058150804,7.196946e-05,4,measured_target_oof_4_models,heldout_test_aggregate,0.002418018168,0.003397062232,0.008233098568,0.005382327657,0.0004327527427,0.01119740806
18,16,34,Ar,0,1,0.00464,0.00058,0.006618041,0.000113124355,4,measured_target_oof_4_models,heldout_test_aggregate,0.003130277957,0.003487763043,0.009748318957,0.007622506669,0,0.01424054767
18,18,36,Ar,0,1,0.00602,0.00032,0.0031082493,6.6185974e-05,4,measured_target_oof_4_models,heldout_test_aggregate,0.001573432147,0.001534817153,0.004681681447,0.003618673156,0,0.006726922456
18,20,38,Ar,0,1,0.00249,8.4e-05,0.003964177,0.00018302184,4,measured_target_oof_4_models,heldout_test_aggregate,0.003828906978,0.0001352700216,0.007793083978,0.009425029855,0,0.01338920686
18,22,40,Ar,0,1,0.00664,0.00034,0.0106378,0.00042945825,4,measured_target_oof_4_models,heldout_test_aggregate,0.003568830282,0.007068969718,0.01420663028,0.009883648004,0.0007541519958,0.020521448
18,24,42,Ar,0,1,0.0084,0.002,0.00814421,0.0001624096,4,measured_target_oof_4_models,heldout_test_aggregate,0.004062422988,0.004081787012,0.01220663299,0.01007188522,0,0.01821609522
18,26,44,Ar,0,1,0.00716,0.00058,0.008658483,0.00077264797,4,measured_target_oof_4_models,heldout_test_aggregate,0.004315358755,0.004343124245,0.01297384176,0.01136656441,0,0.02002504741
18,28,46,Ar,0,1,0.00486,0.00044,0.0037284167,0.00039252656,4,measured_target_oof_4_models,heldout_test_aggregate,0.004792774817,0,0.008521191517,0.01230558754,0,0.01603400424
18,30,48,Ar,0,1,0.00692,0.0011,0.0016204012,0.00015900568,4,measured_target_oof_4_models,heldout_test_aggregate,0.005237034467,0,0.006857435667,0.0127269429,0,0.0143473441
18,32,50,Ar,0,1,,,0.0030091763,0.0011969999,40,unmeasured_target_40_models,extrapolation_model_estimate,0.005791413517,0,0.008800589817,0.01411235243,0,0.01712152873
18,34,52,Ar,0,1,,,0.0025830367,0.001620473,40,unmeasured_target_40_models,extrapolation_model_estimate,0.004565337486,0,0.007148374186,0.01112314239,0,0.01370617909
20,14,34,Ca,0,1,,,0.0026214696,0.0006504996,40,unmeasured_target_40_models,extrapolation_model_estimate,0.002713008508,0,0.005334478108,0.006832906357,0,0.009454375957
