observable,z,n,measurement,oof_prediction,residual
charge_radius,28,36,3.8572,3.875622,0.018421999999999716
charge_radius,29,34,3.8823,3.8697588,-0.012541199999999808
charge_radius,29,36,3.9022,3.9223871,0.02018709999999979
charge_radius,30,34,3.9283,3.9116907,-0.01660930000000027
charge_radius,30,36,3.9491,3.9605846,0.011484599999999734
charge_radius,30,37,3.953,3.9539294,0.0009293999999999691
charge_radius,30,38,3.9658,3.964863,-0.0009370000000004097
charge_radius,30,40,3.9845,3.9851048,0.0006047999999996279
charge_radius,31,38,3.9973,3.9866722,-0.010627799999999965
charge_radius,31,40,4.0118,4.0101604,-0.0016395999999998523
charge_radius,32,38,4.0414,4.0374594,-0.003940599999999961
charge_radius,32,40,4.0576,4.056917,-0.0006829999999995451
charge_radius,32,41,4.0632,4.06573,0.0025300000000001432
charge_radius,32,42,4.0742,4.057425,-0.016774999999999984
charge_radius,32,44,4.0811,4.0553827,-0.025717300000000165
charge_radius,33,42,4.0968,4.0846405,-0.0121595000000001
charge_radius,34,40,4.07,4.1461673,0.07616729999999983
charge_radius,34,42,4.1395,4.1341076,-0.005392399999999853
charge_radius,34,43,4.1395,4.1296463,-0.009853699999999854
charge_radius,34,44,4.1406,4.1334023,-0.0071976999999998625
charge_radius,34,46,4.14,4.1308756,-0.009124399999999255
charge_radius,34,48,4.14,4.1231394,-0.016860599999999337
charge_radius,35,44,4.1629,4.1609473,-0.0019526999999994743
charge_radius,35,46,4.1599,4.159995,9.499999999995623e-05
charge_radius,36,36,4.1635,4.161351,-0.0021490000000001785
charge_radius,36,38,4.187,4.1634083,-0.023591699999999882
charge_radius,36,39,4.2097,4.1749763,-0.0347236999999998
charge_radius,36,40,4.202,4.1853657,-0.01663429999999977
charge_radius,36,41,4.2082,4.1958885,-0.01231150000000003
charge_radius,36,42,4.2038,4.195334,-0.008466000000000307
charge_radius,36,43,4.2034,4.191987,-0.011413000000000117
charge_radius,36,44,4.197,4.1957874,-0.001212599999999675
charge_radius,36,45,4.1952,4.191457,-0.003743000000000052
charge_radius,36,46,4.1919,4.1944084,0.002508399999999966
charge_radius,36,47,4.1871,4.1799626,-0.0071374000000004045
charge_radius,36,48,4.1884,4.1856093,-0.0027906999999993687
charge_radius,36,49,4.1846,4.185887,0.0012870000000004822
charge_radius,36,50,4.1835,4.1856165,0.0021164999999996326
charge_radius,36,51,4.1984,4.1962676,-0.0021324000000007004
charge_radius,36,52,4.2171,4.223605,0.006504999999999761
charge_radius,36,53,4.2286,4.2217283,-0.00687170000000048
charge_radius,36,54,4.2423,4.244892,0.0025919999999999277
charge_radius,36,55,4.2543,4.265088,0.010788000000000686
charge_radius,36,56,4.2724,4.2850533,0.0126533000000002
charge_radius,36,57,4.2794,4.301552,0.02215200000000017
charge_radius,36,58,4.3002,4.3176813,0.017481300000000033
charge_radius,36,59,4.3067,4.3237925,0.01709249999999951
charge_radius,36,60,4.3267,4.3625293,0.03582930000000051
charge_radius,37,39,4.2273,4.217112,-0.01018799999999942
charge_radius,37,40,4.2356,4.2121468,-0.02345319999999962
charge_radius,37,41,4.2385,4.228272,-0.01022800000000057
charge_radius,37,42,4.2284,4.228905,0.0005050000000004218
charge_radius,37,43,4.2271,4.2279034,0.0008033999999996766
charge_radius,37,44,4.2213,4.230667,0.009367000000000125
charge_radius,37,45,4.216,4.2225194,0.006519400000000175
charge_radius,37,46,4.2058,4.2245255,0.018725500000000395
charge_radius,37,47,4.1999,4.2085543,0.008654299999999893
charge_radius,37,48,4.2036,4.2184286,0.014828600000000414
charge_radius,37,49,4.2025,4.2143497,0.011849699999999963
charge_radius,37,50,4.1989,4.2157197,0.016819700000000104
charge_radius,37,51,4.217,4.2236805,0.006680500000000755
charge_radius,37,52,4.2391,4.2538743,0.014774300000000018
charge_radius,37,53,4.2554,4.254172,-0.001228000000000229
charge_radius,37,54,4.2723,4.273064,0.0007639999999993208
charge_radius,37,55,4.2903,4.2965775,0.006277499999999492
charge_radius,37,56,4.3048,4.309621,0.004820999999999742
charge_radius,37,57,4.3184,4.327835,0.009435000000000748
charge_radius,37,58,4.3391,4.3401403,0.001040299999999661
charge_radius,37,59,4.3501,4.352248,0.0021480000000000388
charge_radius,37,60,4.4231,4.3782334,-0.04486659999999976
charge_radius,37,61,4.4336,4.393477,-0.04012300000000035
charge_radius,38,39,4.2569,4.2208395,-0.03606049999999961
charge_radius,38,40,4.2561,4.2351675,-0.0209324999999998
charge_radius,38,41,4.2586,4.2494216,-0.009178400000000586
charge_radius,38,42,4.2562,4.2453237,-0.010876299999999617
charge_radius,38,43,4.2547,4.2482367,-0.006463300000000061
charge_radius,38,44,4.2478,4.2486706,0.0008705999999998326
charge_radius,38,45,4.2455,4.243792,-0.0017079999999998208
charge_radius,38,46,4.2394,4.243942,0.004541999999999824
charge_radius,38,47,4.2304,4.235922,0.005522000000000027
charge_radius,38,48,4.2307,4.247988,0.017288000000000636
charge_radius,38,49,4.2249,4.241682,0.016782000000000075
charge_radius,38,50,4.224,4.2421155,0.018115499999999507
charge_radius,38,51,4.2407,4.248284,0.007583999999999591
charge_radius,38,52,4.2611,4.2730365,0.011936500000000017
charge_radius,38,53,4.274,4.2735987,-0.00040130000000004884
charge_radius,38,54,4.2924,4.2978177,0.005417700000000636
charge_radius,38,55,4.3026,4.318531,0.01593100000000014
charge_radius,38,56,4.3191,4.335936,0.016836000000000517
charge_radius,38,57,4.3305,4.3523936,0.02189360000000029
charge_radius,38,58,4.3522,4.3646636,0.012463600000000241
charge_radius,38,59,4.3625,4.373943,0.01144299999999987
charge_radius,38,60,4.4377,4.406676,-0.031024000000000385
charge_radius,38,61,4.4495,4.4273186,-0.02218139999999913
charge_radius,38,62,4.464,4.4310207,-0.032979300000000045
charge_radius,39,47,4.2513,4.2518516,0.0005516000000005405
charge_radius,39,48,4.2498,4.2601757,0.010375699999999988
charge_radius,39,49,4.2441,4.254455,0.01035499999999967
charge_radius,39,50,4.243,4.248218,0.005217999999999279
charge_radius,39,51,4.2573,4.2636323,0.0063323000000004015
charge_radius,39,53,4.2887,4.293936,0.005236000000000018
charge_radius,39,54,4.3052,4.311122,0.005921999999999983
charge_radius,39,55,4.3142,4.334635,0.02043499999999998
charge_radius,39,56,4.3284,4.344938,0.01653799999999972
charge_radius,39,57,4.3402,4.363146,0.022946000000000133
charge_radius,39,58,4.358,4.378719,0.020719000000000598
charge_radius,39,59,4.3711,4.3891973,0.018097299999999983
charge_radius,39,60,4.4658,4.419957,-0.045842999999999634
charge_radius,39,61,4.4705,4.4340143,-0.036485700000000065
charge_radius,39,62,4.4863,4.445485,-0.04081500000000027
charge_radius,39,63,4.4911,4.4473586,-0.04374140000000004
charge_radius,40,47,4.2789,4.272441,-0.006459000000000437
charge_radius,40,48,4.2787,4.286361,0.007661000000000584
charge_radius,40,49,4.2706,4.2767997,0.006199699999999808
charge_radius,40,50,4.2694,4.276415,0.0070149999999999935
charge_radius,40,51,4.2845,4.283824,-0.000676000000000343
charge_radius,40,52,4.3057,4.3146996,0.008999600000000108
charge_radius,40,54,4.332,4.3385234,0.006523399999999846
charge_radius,40,56,4.3512,4.3772106,0.02601059999999933
charge_radius,40,57,4.3792,4.393267,0.01406699999999983
charge_radius,40,58,4.4012,4.3998365,-0.001363500000000073
charge_radius,40,59,4.4156,4.415924,0.00032399999999999096
charge_radius,40,60,4.4891,4.45117,-0.03792999999999935
charge_radius,40,61,4.5119,4.4656982,-0.046201799999999515
charge_radius,40,62,4.5292,4.475528,-0.05367200000000061
charge_radius,41,49,4.2891,4.294564,0.005463999999999913
charge_radius,41,50,4.2878,4.2864604,-0.0013395999999996633
charge_radius,41,51,4.3026,4.2983685,-0.004231500000000388
charge_radius,41,52,4.324,4.3329325,0.008932500000000232
charge_radius,41,58,4.4062,4.4204693,0.014269299999999596
charge_radius,41,60,4.4861,4.461527,-0.024573000000000178
charge_radius,41,62,4.5097,4.4886484,-0.021051599999999837
charge_radius,42,48,4.3265,4.322749,-0.003751000000000282
charge_radius,42,49,4.3182,4.3193445,0.0011444999999996597
charge_radius,42,50,4.3151,4.319699,0.004598999999999798
charge_radius,42,52,4.3529,4.35614,0.0032399999999999096
charge_radius,42,53,4.3628,4.3620934,-0.0007066000000000017
charge_radius,42,54,4.3847,4.3825855,-0.002114499999999353
charge_radius,42,55,4.388,4.407136,0.019136000000000486
charge_radius,42,56,4.4091,4.4226956,0.013595600000000374
charge_radius,42,58,4.4468,4.45601,0.009210000000000385
charge_radius,42,60,4.4914,4.505552,0.014152000000000164
charge_radius,42,61,4.5145,4.5198803,0.0053802999999996715
charge_radius,42,62,4.5249,4.523691,-0.0012089999999993495
charge_radius,42,63,4.5389,4.5259066,-0.012993400000000044
charge_radius,42,64,4.549,4.5363293,-0.012670700000000146
charge_radius,42,66,4.5602,4.5402946,-0.01990539999999985
charge_radius,44,52,4.3908,4.388149,-0.002650999999999293
charge_radius,44,54,4.4229,4.410522,-0.012378
charge_radius,44,55,4.4338,4.438756,0.0049559999999999604
charge_radius,44,56,4.4531,4.452655,-0.0004450000000000287
charge_radius,44,57,4.4606,4.4679503,0.007350299999999699
charge_radius,44,58,4.4809,4.4793286,-0.0015714000000004447
charge_radius,44,60,4.5098,4.528646,0.01884599999999992
charge_radius,45,58,4.4945,4.4924903,-0.0020097000000003362
charge_radius,46,56,4.4827,4.4780855,-0.004614500000000632
charge_radius,46,58,4.5078,4.503848,-0.0039519999999999555
charge_radius,46,59,4.515,4.5180054,0.003005400000000158
charge_radius,46,60,4.5318,4.554556,0.02275600000000022
charge_radius,46,62,4.5563,4.576941,0.020640999999999465
charge_radius,46,64,4.5782,4.5789614,0.0007614000000000232
charge_radius,47,54,4.4799,4.4421825,-0.037717499999999404
charge_radius,47,56,4.5036,4.4808626,-0.022737399999999575
charge_radius,47,57,4.5119,4.500201,-0.011699000000000126
charge_radius,47,58,4.5269,4.5077515,-0.019148500000000013
charge_radius,47,60,4.5454,4.5500674,0.004667399999999766
charge_radius,47,62,4.5638,4.581537,0.017737000000000336
charge_radius,48,54,4.481,4.4564443,-0.024555699999999625
charge_radius,48,55,4.4951,4.4784045,-0.016695499999999974
charge_radius,48,56,4.5122,4.4935174,-0.018682599999999994
charge_radius,48,57,4.5216,4.5138016,-0.007798400000000427
charge_radius,48,58,4.5383,4.523709,-0.014590999999999354
charge_radius,48,59,4.5466,4.537337,-0.0092629999999998
charge_radius,48,60,4.5577,4.5694237,0.011723700000000115
charge_radius,48,61,4.5601,4.587926,0.02782600000000013
charge_radius,48,62,4.5765,4.589173,0.01267299999999949
charge_radius,48,63,4.5845,4.5976896,0.01318959999999958
charge_radius,48,64,4.5944,4.600669,0.006268999999999636
charge_radius,48,65,4.6012,4.609305,0.008104999999999585
charge_radius,48,66,4.6087,4.611252,0.002552000000000554
charge_radius,48,67,4.6114,4.614366,0.0029660000000006903
charge_radius,48,68,4.6203,4.618319,-0.0019810000000006767
charge_radius,48,69,4.6136,4.62365,0.01004999999999967
charge_radius,48,70,4.6246,4.632121,0.007520999999999667
charge_radius,48,72,4.63,4.62857,-0.0014300000000000423
charge_radius,49,55,4.5184,4.488899,-0.029500999999999777
charge_radius,49,56,4.5311,4.5084558,-0.022644200000000225
charge_radius,49,57,4.5375,4.5251184,-0.012381599999999438
charge_radius,49,58,4.5494,4.5364537,-0.0129463000000003
charge_radius,49,59,4.5571,4.55332,-0.0037799999999998946
charge_radius,49,60,4.5685,4.5890226,0.020522599999999613
charge_radius,49,61,4.5742,4.604493,0.03029299999999946
charge_radius,49,62,4.5856,4.6137633,0.028163299999999225
charge_radius,49,63,4.5907,4.6020317,0.011331700000000389
charge_radius,49,64,4.601,4.619549,0.01854900000000015
charge_radius,49,65,4.6056,4.628595,0.022994999999999877
charge_radius,49,66,4.6156,4.628791,0.013190999999999953
charge_radius,49,67,4.6211,4.6287637,0.007663700000000162
charge_radius,49,68,4.6292,4.635838,0.0066379999999997
charge_radius,49,69,4.6335,4.638833,0.005333000000000254
charge_radius,49,70,4.6407,4.6463323,0.0056323000000002565
charge_radius,49,71,4.6443,4.641786,-0.0025140000000005713
charge_radius,49,72,4.6505,4.6472936,-0.0032063999999998316
charge_radius,49,73,4.6534,4.6444016,-0.008998400000000295
charge_radius,49,74,4.6594,4.6538563,-0.005543699999999596
charge_radius,49,75,4.6625,4.6492248,-0.01327519999999982
charge_radius,49,76,4.667,4.6563425,-0.010657499999999764
charge_radius,49,77,4.6702,4.653884,-0.016316000000000663
charge_radius,49,78,4.6733,4.652337,-0.020963000000000065
charge_radius,50,58,4.5605,4.551262,-0.009237999999999857
charge_radius,50,59,4.5679,4.5628858,-0.005014199999999747
charge_radius,50,60,4.5785,4.600251,0.021751000000000076
charge_radius,50,61,4.5836,4.621347,0.03774700000000042
charge_radius,50,62,4.5948,4.6285496,0.03374960000000016
charge_radius,50,63,4.6015,4.630099,0.028599000000000707
charge_radius,50,64,4.6099,4.633848,0.023948000000000746
charge_radius,50,65,4.6148,4.6418695,0.027069500000000524
charge_radius,50,66,4.625,4.641195,0.016194999999999737
charge_radius,50,67,4.6302,4.6456594,0.015459400000000123
charge_radius,50,68,4.6393,4.6566114,0.017311399999999644
charge_radius,50,69,4.6438,4.653806,0.010006000000000626
charge_radius,50,70,4.6519,4.665842,0.013941999999999233
charge_radius,50,71,4.6566,4.6585,0.0019000000000000128
charge_radius,50,72,4.6634,4.6626167,-0.0007833000000001533
charge_radius,50,73,4.6665,4.661665,-0.004834999999999923
charge_radius,50,74,4.6735,4.673147,-0.00035299999999960363
charge_radius,50,75,4.6765,4.6702676,-0.006232400000000027
charge_radius,50,76,4.6833,4.675992,-0.007308000000000092
charge_radius,50,77,4.6867,4.6748743,-0.011825700000000161
charge_radius,50,78,4.6921,4.672238,-0.019861999999999824
charge_radius,50,79,4.6934,4.665845,-0.027554999999999552
charge_radius,50,80,4.7019,4.673484,-0.028415999999999997
charge_radius,50,81,4.7078,4.6625795,-0.04522050000000011
charge_radius,50,82,4.7093,4.6661882,-0.043111800000000144
charge_radius,51,70,4.6802,4.713648,0.03344799999999992
charge_radius,51,72,4.6879,4.709673,0.021773000000000486
charge_radius,52,64,4.6847,4.6972365,0.012536499999999506
charge_radius,52,66,4.6956,4.7043533,0.008753300000000408
charge_radius,52,68,4.7038,4.712266,0.008465999999999418
charge_radius,52,70,4.7095,4.726156,0.016655999999999338
charge_radius,52,71,4.7117,4.7222996,0.010599599999999931
charge_radius,52,72,4.7183,4.7205925,0.0022925000000002527
charge_radius,52,73,4.7204,4.7204,0.0
charge_radius,52,74,4.7266,4.7328396,0.00623959999999979
charge_radius,52,76,4.7346,4.740803,0.006202999999999292
charge_radius,52,78,4.7423,4.742349,4.899999999974369e-05
charge_radius,52,80,4.75,4.7444015,-0.005598499999999618
charge_radius,52,82,4.7569,4.73619,-0.020710000000000228
charge_radius,52,84,4.7815,4.763342,-0.018158000000000563
charge_radius,53,74,4.75,4.7626104,0.0126103999999998
charge_radius,54,62,4.7211,4.738518,0.017418000000000156
charge_radius,54,64,4.7387,4.7449503,0.006250300000000486
charge_radius,54,66,4.7509,4.75455,0.003650000000000375
charge_radius,54,68,4.759,4.765855,0.0068549999999998334
charge_radius,54,70,4.7661,4.7738013,0.007701299999999911
charge_radius,54,72,4.7722,4.7726994,0.0004993999999998167
charge_radius,54,73,4.7747,4.7736893,-0.001010700000000142
charge_radius,54,74,4.7774,4.7848296,0.007429600000000036
charge_radius,54,75,4.7775,4.7858763,0.008376300000000114
charge_radius,54,76,4.7818,4.791794,0.009994000000000725
charge_radius,54,77,4.7808,4.7929077,0.01210769999999961
charge_radius,54,78,4.7859,4.800103,0.014203000000000188
charge_radius,54,79,4.7831,4.7887707,0.005670699999999584
charge_radius,54,80,4.7899,4.80195,0.01204999999999945
charge_radius,54,82,4.7964,4.795488,-0.000912000000000468
charge_radius,54,83,4.8094,4.80341,-0.005989999999999718
charge_radius,54,84,4.8279,4.818595,-0.009304999999999453
charge_radius,54,85,4.8409,4.8319,-0.009000000000000341
charge_radius,54,86,4.8566,4.8423,-0.014300000000000423
charge_radius,54,87,4.8694,4.8498287,-0.019571299999999958
charge_radius,54,88,4.8841,4.8691063,-0.014993699999999777
charge_radius,54,89,4.8942,4.886581,-0.007619000000000042
charge_radius,54,90,4.9082,4.9012175,-0.006982500000000336
charge_radius,54,92,4.9315,4.929268,-0.0022319999999993456
charge_radius,55,63,4.7832,4.7524557,-0.03074430000000028
charge_radius,55,64,4.7896,4.7506237,-0.03897629999999985
charge_radius,55,65,4.7915,4.761246,-0.030254000000000225
charge_radius,55,66,4.7769,4.7740235,-0.0028765000000001706
charge_radius,55,67,4.7773,4.775711,-0.0015890000000000626
charge_radius,55,68,4.782,4.7841005,0.0021005000000000607
charge_radius,55,69,4.7828,4.7850595,0.002259500000000081
charge_radius,55,70,4.788,4.796122,0.008122000000000185
charge_radius,55,71,4.7872,4.7922626,0.005062599999999584
charge_radius,55,72,4.7936,4.7965646,0.002964600000000317
charge_radius,55,73,4.7921,4.7946267,0.002526700000000659
charge_radius,55,74,4.7981,4.8017635,0.0036635000000000417
charge_radius,55,75,4.7992,4.805321,0.006121000000000265
charge_radius,55,76,4.8026,4.811854,0.009254000000000318
charge_radius,55,77,4.8002,4.812367,0.012166999999999817
charge_radius,55,78,4.8041,4.817646,0.013545999999999836
charge_radius,55,79,4.8031,4.8073945,0.004294500000000312
charge_radius,55,80,4.8067,4.820813,0.014113000000000042
charge_radius,55,81,4.8059,4.8185587,0.012658699999999357
charge_radius,55,82,4.8128,4.8155003,0.002700299999999878
charge_radius,55,83,4.8255,4.827759,0.002259000000000455
charge_radius,55,84,4.8422,4.841611,-0.0005889999999997286
charge_radius,55,85,4.8554,4.8554397,3.9699999999420754e-05
charge_radius,55,86,4.8689,4.8663983,-0.002501699999999829
charge_radius,55,87,4.8825,4.876516,-0.0059840000000006555
charge_radius,55,88,4.8965,4.8922205,-0.004279499999999992
charge_radius,55,89,4.9055,4.913142,0.007641999999999705
charge_radius,55,90,4.9188,4.9245725,0.005772499999999958
charge_radius,55,91,4.9281,4.940837,0.012737000000000442
charge_radius,56,64,4.8092,4.774409,-0.03479099999999935
charge_radius,56,65,4.8176,4.7837667,-0.03383329999999951
charge_radius,56,66,4.8153,4.7984676,-0.016832399999999303
charge_radius,56,67,4.8135,4.798914,-0.014586000000000432
charge_radius,56,68,4.8185,4.8088865,-0.009613500000000386
charge_radius,56,69,4.8177,4.8125525,-0.005147500000000527
charge_radius,56,70,4.8221,4.818979,-0.0031210000000001514
charge_radius,56,71,4.8204,4.8174143,-0.00298569999999998
charge_radius,56,72,4.8255,4.820432,-0.005067999999999628
charge_radius,56,73,4.8248,4.818793,-0.0060069999999994295
charge_radius,56,74,4.8283,4.832696,0.004396000000000733
charge_radius,56,75,4.8276,4.834165,0.006564999999999266
charge_radius,56,76,4.8303,4.838394,0.008093999999999824
charge_radius,56,77,4.8286,4.840431,0.011830999999999925
charge_radius,56,78,4.8322,4.8461113,0.013911299999999294
charge_radius,56,79,4.8294,4.837324,0.007924000000000042
charge_radius,56,80,4.8334,4.847327,0.0139269999999998
charge_radius,56,81,4.8314,4.837945,0.006545000000000023
charge_radius,56,82,4.8378,4.8414326,0.00363260000000043
charge_radius,56,83,4.8513,4.8539605,0.0026605000000001766
charge_radius,56,84,4.8684,4.8705025,0.002102499999999452
charge_radius,56,85,4.8807,4.8818564,0.0011564000000001684
charge_radius,56,86,4.8953,4.8928423,-0.002457699999999896
charge_radius,56,87,4.9087,4.901859,-0.006840999999999653
charge_radius,56,88,4.9236,4.9204707,-0.0031293000000003346
charge_radius,56,89,4.9345,4.9377446,0.003244600000000375
charge_radius,56,90,4.9479,4.9442644,-0.003635599999999961
charge_radius,56,92,4.9731,4.9737897,0.0006897000000005704
charge_radius,57,78,4.8488,4.8508043,0.002004300000000292
charge_radius,57,80,4.8496,4.8558607,0.006260700000000341
charge_radius,57,81,4.8473,4.8552237,0.007923700000000089
charge_radius,57,82,4.855,4.849909,-0.005091000000000179
charge_radius,58,78,4.8739,4.873669,-0.0002310000000003143
charge_radius,58,80,4.8737,4.87075,-0.00295000000000023
charge_radius,58,82,4.8771,4.8681555,-0.008944500000000133
charge_radius,58,84,4.9063,4.893812,-0.012488000000000277
charge_radius,58,86,4.9303,4.918906,-0.011394000000000126
charge_radius,58,88,4.959,4.9468503,-0.012149699999999264
charge_radius,58,90,4.9893,4.975541,-0.013759000000000299
charge_radius,59,82,4.8919,4.8992343,0.007334300000000127
charge_radius,60,72,4.9174,4.887865,-0.02953500000000009
charge_radius,60,74,4.9128,4.900695,-0.012105000000000032
charge_radius,60,75,4.9086,4.906436,-0.0021639999999996107
charge_radius,60,76,4.9111,4.909164,-0.001936000000000604
charge_radius,60,77,4.908,4.9135876,0.005587599999999249
charge_radius,60,78,4.9123,4.921029,0.008728999999999765
charge_radius,60,79,4.9076,4.913179,0.005579000000000001
charge_radius,60,80,4.9101,4.923721,0.013620999999999661
charge_radius,60,81,4.9057,4.9217205,0.01602049999999977
charge_radius,60,82,4.9123,4.9205427,0.00824270000000027
charge_radius,60,83,4.9254,4.930242,0.004842000000000013
charge_radius,60,84,4.9421,4.9519825,0.009882499999999794
charge_radius,60,85,4.9535,4.9624915,0.008991499999999597
charge_radius,60,86,4.9696,4.973978,0.004377999999999993
charge_radius,60,88,4.9999,5.002389,0.0024889999999997414
charge_radius,60,90,5.04,5.0345097,-0.005490299999999948
charge_radius,62,76,4.9599,4.9436655,-0.016234500000000374
charge_radius,62,77,4.9556,4.948255,-0.007344999999999935
charge_radius,62,78,4.9565,4.954588,-0.0019119999999999138
charge_radius,62,79,4.9517,4.9476805,-0.004019500000000065
charge_radius,62,80,4.9518,4.956361,0.004560999999999815
charge_radius,62,81,4.9479,4.956652,0.008752000000000315
charge_radius,62,82,4.9524,4.957055,0.00465500000000052
charge_radius,62,83,4.9651,4.9695606,0.004460600000000703
charge_radius,62,84,4.9808,4.9902453,0.009445299999999435
charge_radius,62,85,4.9892,4.9980726,0.00887260000000012
charge_radius,62,86,5.0042,5.0135813,0.009381300000000259
charge_radius,62,87,5.0134,5.022647,0.009247000000000227
charge_radius,62,88,5.0387,5.0413876,0.00268759999999979
