z,n,a,symbol,be2_2plus_adopted,be2_2plus_unc_adopted,E2_2plus_adopted,E2_2plus_unc_adopted,be2_2plus_ref,be2_2plus_type,be2_experimental_count
18,26,44,Ar,0.0358,0.0029,1157.97,0.11,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
18,28,46,Ar,0.0243,0.0022,1577.0,1.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,5
18,30,48,Ar,0.0346,0.0055,1038.0,6.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
20,18,38,Ca,0.0097,0.0027,2213.13,0.1,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
20,20,40,Ca,0.00924,0.00068,3904.38,0.03,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,16
20,22,42,Ca,0.0369,0.002,1524.7,0.3,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,11
20,24,44,Ca,0.0467,0.0021,1157.019,0.004,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,10
20,26,46,Ca,0.0168,0.0013,1346.0,3.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,4
20,28,48,Ca,0.0092,0.0009,3831.72,0.06,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,5
20,30,50,Ca,0.00373,0.00019,1026.72,0.1,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
22,20,42,Ti,0.086,0.016,1556.0,8.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,5
22,22,44,Ti,0.068,0.0044,1083.06,0.09,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,4
22,24,46,Ti,0.0951,0.0025,889.286,0.003,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,14
22,26,48,Ti,0.0662,0.0029,983.539,0.024,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,19
22,28,50,Ti,0.0275,0.0016,1553.778,0.007,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,8
22,30,52,Ti,0.0603,0.0027,1049.73,0.1,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,4
22,32,54,Ti,0.0357,0.0063,1494.8,0.8,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
22,34,56,Ti,0.06,0.02,1128.2,0.4,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
24,22,46,Cr,0.093,0.02,892.16,0.1,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
24,24,48,Cr,0.137,0.015,752.19,0.11,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,4
24,26,50,Cr,0.1052,0.0032,783.3,0.9,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,11
24,28,52,Cr,0.0622,0.0024,1434.094,0.014,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,19
24,30,54,Cr,0.0853,0.0042,834.855,0.003,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,6
24,32,56,Cr,0.055,0.019,1006.61,0.2,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
24,34,58,Cr,0.097,0.013,880.7,0.2,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
24,36,60,Cr,0.121,0.015,646.0,1.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
24,38,62,Cr,0.173,0.017,447.0,4.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
24,40,64,Cr,0.156,0.04,430.0,2.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
26,28,54,Fe,0.0608,0.0031,1408.19,0.19,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,9
26,30,56,Fe,0.0981,0.002,846.776,0.005,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,22
26,32,58,Fe,0.122,0.006,810.7662,0.002,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,6
26,34,60,Fe,0.0938,0.0088,823.63,0.15,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
26,36,62,Fe,0.102,0.009,876.8,0.3,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
26,38,64,Fe,0.173,0.016,746.4,1.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
26,40,66,Fe,0.152,0.01,574.4,1.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,4
26,42,68,Fe,0.178,0.022,522.0,1.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
28,26,54,Ni,0.061,0.012,1392.3,0.4,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
28,28,56,Ni,0.0453,0.0086,2700.6,0.7,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,4
28,30,58,Ni,0.065,0.0012,1454.21,0.09,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,25
28,32,60,Ni,0.0916,0.0016,1332.518,0.005,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,25
28,34,62,Ni,0.0889,0.003,1172.91,0.09,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,19
28,36,64,Ni,0.0674,0.0032,1345.75,0.05,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,11
28,38,66,Ni,0.06,0.01,1424.8,1.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
28,40,68,Ni,0.0261,0.006,2034.07,0.17,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,5
28,42,70,Ni,0.086,0.014,1259.6,0.2,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
28,46,74,Ni,0.064,0.022,1024.0,1.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
30,32,62,Zn,0.1224,0.0059,954.0,4.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,4
30,34,64,Zn,0.1494,0.004,991.56,0.05,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,20
30,36,66,Zn,0.137,0.0033,1039.2279,0.0021,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,24
30,38,68,Zn,0.1199,0.0021,1077.37,0.04,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,16
30,40,70,Zn,0.151,0.008,884.46,0.08,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,8
30,42,72,Zn,0.188,0.017,652.7,0.5,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,7
30,44,74,Zn,0.195,0.015,605.9,0.8,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,5
30,46,76,Zn,0.145,0.018,598.68,0.1,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
30,48,78,Zn,0.077,0.019,730.2,0.4,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
30,50,80,Zn,0.073,0.009,1492.0,1.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
32,32,64,Ge,0.208,0.032,1128.2,0.4,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
32,34,66,Ge,0.134,0.011,956.94,0.08,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
32,36,68,Ge,0.1242,0.0055,1015.801,0.016,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,6
32,38,70,Ge,0.179,0.003,1039.485,0.022,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,11
32,40,72,Ge,0.2087,0.003,834.011,0.019,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,12
32,42,74,Ge,0.306,0.015,595.85,0.06,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,8
32,44,76,Ge,0.2735,0.003,562.93,0.03,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,10
32,46,78,Ge,0.222,0.014,619.36,0.12,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
32,48,80,Ge,0.139,0.027,659.15,0.04,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,4
32,50,82,Ge,0.121,0.015,1347.51,0.07,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
34,34,68,Se,0.211,0.029,854.2,0.3,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
34,36,70,Se,0.169,0.011,944.52,0.05,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,5
34,38,72,Se,0.1895,0.0079,862.07,0.08,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,9
34,40,74,Se,0.357,0.02,634.74,0.06,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,8
34,42,76,Se,0.432,0.011,559.102,0.005,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,10
34,44,78,Se,0.343,0.012,613.727,0.003,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,7
34,46,80,Se,0.2521,0.0082,666.27,0.07,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,8
34,48,82,Se,0.183,0.01,654.75,0.16,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,6
34,50,84,Se,0.105,0.015,1454.55,0.08,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
36,36,72,Kr,0.466,0.065,709.72,0.14,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
36,38,74,Kr,0.627,0.031,455.61,0.1,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,5
36,40,76,Kr,0.758,0.026,423.96,0.07,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,6
36,42,78,Kr,0.634,0.016,455.033,0.023,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,13
36,44,80,Kr,0.381,0.012,616.6,1.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,5
36,46,82,Kr,0.2251,0.0064,776.52,0.03,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,6
36,48,84,Kr,0.1268,0.0038,881.615,0.003,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,7
36,50,86,Kr,0.1056,0.0095,1564.75,0.1,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
36,52,88,Kr,0.0895,0.0093,775.31,0.04,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,4
36,54,90,Kr,0.154,0.184,707.13,0.05,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
36,56,92,Kr,0.2073,0.007,769.1,0.5,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
36,58,94,Kr,0.247,0.028,666.1,0.3,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
36,60,96,Kr,0.436,0.093,554.1,0.5,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
38,38,76,Sr,1.08,0.14,262.3,0.2,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
38,40,78,Sr,0.97,0.1,277.6,1.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
38,42,80,Sr,0.909,0.04,385.88,0.08,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,4
38,44,82,Sr,0.505,0.025,573.54,0.08,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
38,46,84,Sr,0.292,0.023,793.22,0.06,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,4
38,48,86,Sr,0.1341,0.0077,1076.68,0.04,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,5
38,50,88,Sr,0.0903,0.0028,1836.087,0.008,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,9
38,52,90,Sr,0.102,0.034,831.68,0.04,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
38,54,92,Sr,0.095,0.048,814.98,0.03,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
